"state_fips","state_usps","county_fips","county_name","cwa","time_zone","feature_area","latitude","longitude"
"36","NY","063","Niagara","BUF","E","ww",43.2010649647,-78.7426818824
"36","NY","065","Oneida","BGM","E","cc",43.2417986726,-75.4358603186
"36","NY","067","Onondaga","BGM","E","cc",43.0057844333,-76.1946456673
"36","NY","069","Ontario","BUF","E","ww",42.852886201,-77.2998268292
"36","NY","071","Orange","OKX","E","se",41.4022312247,-74.3056367538
"36","NY","073","Orleans","BUF","E","ww",43.2521933018,-78.2312157769
"36","NY","075","Oswego","BUF","E","cc",43.4260074079,-76.1411655819
"36","NY","077","Otsego","BGM","E","cc",42.6338325057,-75.0326330144
"36","NY","079","Putnam","OKX","E","se",41.4266597197,-73.7495386339
"36","NY","081","Queens","OKX","E","se",40.7067180291,-73.8177455344
"36","NY","081","Queens","OKX","E","se",40.7883963682,-73.848037511
"36","NY","083","Rensselaer","ALY","E","ec",42.7110640169,-73.5096903933
"36","NY","085","Richmond","OKX","E","se",40.5802142767,-74.1556915765
"36","NY","085","Richmond","OKX","E","se",40.6434631791,-74.1343440904
"36","NY","087","Rockland","OKX","E","se",41.1529407307,-74.0240807069
"36","NY","089","St. Lawrence","BTV","E","nn",44.4921231342,-75.0625074985
"36","NY","091","Saratoga","ALY","E","ec",43.10741026,-73.8638763014
"36","NY","093","Schenectady","ALY","E","ec",42.8182011089,-74.0585455879
"36","NY","095","Schoharie","ALY","E","ec",42.5882339285,-74.4421059456
"36","NY","097","Schuyler","BGM","E","cc",42.3937831218,-76.8752200454
"36","NY","099","Seneca","BGM","E","cc",42.7810206913,-76.8237447038
"36","NY","101","Steuben","BGM","E","cc",42.2678248041,-77.3837888335
"36","NY","103","Suffolk","OKX","E","se",40.8779901748,-72.8572851647
"36","NY","105","Sullivan","BGM","E","cc",41.7164109701,-74.7681173594
"36","NY","107","Tioga","BGM","E","cc",42.170260452,-76.3063004136
"36","NY","109","Tompkins","BGM","E","cc",42.4520155795,-76.4736675991
"36","NY","111","Ulster","ALY","E","ec",41.8881425771,-74.258556537
"36","NY","113","Warren","ALY","E","ec",43.5609625852,-73.8460034342
"36","NY","115","Washington","ALY","E","ec",43.3136954085,-73.4307390583
"36","NY","117","Wayne","BUF","E","ww",43.1566426584,-77.0291622363
"36","NY","119","Westchester","OKX","E","se",40.9601192659,-73.8997772863
"36","NY","119","Westchester","OKX","E","se",41.1642806025,-73.7552692031
"36","NY","121","Wyoming","BUF","E","ww",42.7023306142,-78.2244902887
"36","NY","123","Yates","BGM","E","cc",42.6334679269,-77.1054575937
"37","NC","001","Alamance","RAH","E","cc",36.0440274537,-79.3994602559
"37","NC","003","Alexander","GSP","E","pd",35.9210925628,-81.1771524063
"37","NC","005","Alleghany","RNK","E","nw",36.4915283264,-81.1285854158
"37","NC","007","Anson","RAH","E","cc",34.9738399638,-80.1027259411
"37","NC","009","Ashe","RNK","E","nw",36.4346138272,-81.5010382442
"37","NC","011","Avery","GSP","E","ww",36.0765936067,-81.922444124
"37","NC","013","Beaufort","MHX","E","ee",35.4947438631,-76.863075634
"37","NC","015","Bertie","AKQ","E","ne",36.1196907057,-76.7245564561
"37","NC","015","Bertie","AKQ","E","ne",36.0662271598,-76.9790701762
"37","NC","017","Bladen","ILM","E","se",34.6143098079,-78.5631576705
"37","NC","019","Brunswick","ILM","E","se",33.9633912833,-78.0598587718
"37","NC","019","Brunswick","ILM","E","se",34.0747322151,-78.2441129294
"37","NC","021","Buncombe","GSP","E","ww",35.6111984476,-82.5301591409
"37","NC","023","Burke","GSP","E","ww",35.7494867518,-81.7045032432
"37","NC","025","Cabarrus","GSP","E","pd",35.3868351725,-80.5518522746
"37","NC","027","Caldwell","GSP","E","ww",35.952972019,-81.5465013781
"37","NC","029","Camden","AKQ","E","ne",36.390232308,-76.2101209565
"37","NC","029","Camden","AKQ","E","ne",36.2238404121,-76.0277242348
"37","NC","031","Carteret","MHX","E","ee",34.83271302,-76.6706752087
"37","NC","033","Caswell","RNK","E","nc",36.3933706571,-79.3336503886
"37","NC","035","Catawba","GSP","E","pd",35.6626381402,-81.2144350695
"37","NC","037","Chatham","RAH","E","cc",35.7027547482,-79.2553039153
"37","NC","039","Cherokee","MRX","E","sw",35.1338695561,-84.0634772569
"37","NC","041","Chowan","AKQ","E","ne",36.1506861523,-76.6080339288
"37","NC","041","Chowan","AKQ","E","ne",36.1512780322,-76.6914283848
"37","NC","043","Clay","MRX","E","sw",35.0572388976,-83.7501883577
"37","NC","045","Cleveland","GSP","E","pd",35.3339973107,-81.5553939109
"37","NC","047","Columbus","ILM","E","se",34.2654926728,-78.6549768077
"37","NC","049","Craven","MHX","E","ee",35.1262180242,-77.0969457468
"37","NC","051","Cumberland","RAH","E","cc",35.0485404897,-78.827325941
"37","NC","053","Currituck","AKQ","E","ne",36.4010875592,-76.014096375
"37","NC","053","Currituck","AKQ","e","ne",36.2197218638,-75.9184472487
"37","NC","055","Mainland Dare","MHX","E","ee",35.7752599899,-75.8577141432
"37","NC","055","Outer Banks Dare","MHX","E","ee",35.759441487,-75.6211303312
"37","NC","057","Davidson","RAH","E","cc",35.7931647809,-80.2127413747
"37","NC","059","Davie","GSP","E","pd",35.9292333744,-80.5445875657
"37","NC","061","Duplin","MHX","E","ee",34.936475399,-77.9332922708
"37","NC","063","Durham","RAH","E","cc",36.0359322993,-78.8764224494
"37","NC","065","Edgecombe","RAH","E","cc",35.9129136807,-77.5970956621
"37","NC","067","Forsyth","RAH","E","cc",36.1304357624,-80.2562542538
"37","NC","069","Franklin","RAH","E","cc",36.082744862,-78.2856640779
"37","NC","071","Gaston","GSP","E","pd",35.2944651826,-81.1801429973
"37","NC","073","Gates","AKQ","E","ne",36.4448873598,-76.7010908538
"37","NC","075","Graham","GSP","E","ww",35.3501611769,-83.8335410003
"37","NC","077","Granville","RAH","E","cc",36.3039955831,-78.6530135268
"37","NC","079","Greene","MHX","E","ee",35.4851907213,-77.6755990858
"37","NC","081","Guilford","RAH","E","cc",36.0793953159,-79.7889984225
"37","NC","083","Halifax","RAH","E","cc",36.2574990122,-77.6519038749
"37","NC","085","Harnett","RAH","E","cc",35.3686998896,-78.8692814093
"37","NC","087","Haywood","GSP","E","ww",35.556057097,-82.982217657
"37","NC","089","Henderson","GSP","E","ww",35.3362432705,-82.4799042089
"37","NC","091","Hertford","AKQ","E","ne",36.358983409,-76.9837544617
"37","NC","091","Hertford","AKQ","E","ne",36.3110113334,-76.7494464893
"37","NC","093","Hoke","RAH","E","cc",35.017409611,-79.2370951863
"37","NC","095","Outer Banks Hyde","MHX","E","ee",35.1288399031,-75.9133963776
"37","NC","095","Mainland Hyde","MHX","E","ee",35.5375237772,-76.2532444296
"37","NC","097","Iredell","GSP","E","pd",35.8072188183,-80.8736447878
"37","NC","099","Jackson","GSP","E","ww",35.2873936193,-83.1408161159
"37","NC","101","Johnston","RAH","E","cc",35.5176395165,-78.3657306919
"37","NC","103","Jones","MHX","E","ee",35.0221509581,-77.3555401317
"37","NC","105","Lee","RAH","E","cc",35.4750220668,-79.1715914074
"37","NC","107","Lenoir","MHX","E","ee",35.2392584432,-77.6415968846
"37","NC","109","Lincoln","GSP","E","pd",35.4861844274,-81.2238861476
"37","NC","111","McDowell","GSP","E","ww",35.6813471134,-82.048666959
"37","NC","113","Macon","GSP","E","ww",35.150448538,-83.4221173099
"37","NC","115","Madison","GSP","E","ww",35.8580567141,-82.7056895725
"37","NC","117","Martin","MHX","E","ee",35.8416232819,-77.1071808545
"37","NC","119","Mecklenburg","GSP","E","pd",35.2468123289,-80.8327781099
"37","NC","121","Mitchell","GSP","E","ww",36.013301411,-82.1634241247
"37","NC","123","Montgomery","RAH","E","cc",35.3324045758,-79.9054339351
"37","NC","125","Moore","RAH","E","cc",35.3106914207,-79.4813365058
"37","NC","127","Nash","RAH","E","cc",35.9672377682,-77.9864526825
"37","NC","129","New Hanover","ILM","E","se",34.1046309121,-77.8921275244
"37","NC","129","New Hanover","ILM","E","se",34.2421726989,-77.8846242584
"37","NC","131","Northampton","AKQ","E","ne",36.4176663424,-77.3967417033
"37","NC","133","Onslow","MHX","E","ee",34.7374210724,-77.4341543168
"37","NC","135","Orange","RAH","E","cc",36.0614498457,-79.1205474262
"37","NC","137","Pamlico","MHX","E","E",35.1406661355,-76.7487659129
"37","NC","139","Pasquotank","AKQ","E","ne",36.2974198796,-76.2867407457
"37","NC","139","Pasquotank","AKQ","E","ne",36.204655727,-76.1331030512
"37","NC","141","Pender","ILM","E","se",34.5254554782,-77.9070295025
"37","NC","141","Pender","ILM","E","se",34.3860629067,-77.6198203724
"37","NC","143","Perquimans","AKQ","E","ne",36.20693028,-76.4419058004
"37","NC","143","Perquimans","AKQ","E","ne",36.1409460417,-76.3486638051
"37","NC","145","Person","RAH","E","cc",36.3901136123,-78.9716949116
"37","NC","147","Pitt","MHX","E","ee",35.5935307654,-77.3747515396
"37","NC","149","Polk","GSP","E","ww",35.2792888112,-82.1696352784
"37","NC","151","Randolph","RAH","E","cc",35.710279095,-79.8060339587
"37","NC","153","Richmond","RAH","E","cc",35.0059358343,-79.7479668994
"37","NC","155","Robeson","ILM","E","se",34.6401376862,-79.1035086342
"37","NC","157","Rockingham","RNK","E","nc",36.3960955369,-79.775119409
"37","NC","159","Rowan","GSP","E","pd",35.6396440136,-80.5247007731
"37","NC","161","Rutherford","GSP","E","ww",35.4022954544,-81.9201979008
"37","NC","163","Sampson","RAH","E","cc",34.9915267896,-78.3712204948
"37","NC","165","Scotland","RAH","E","cc",34.8410876542,-79.4804917833
"37","NC","167","Stanly","RAH","E","cc",35.3120147531,-80.2506748658
"37","NC","169","Stokes","RNK","E","nc",36.401849646,-80.2395122424
"37","NC","171","Surry","RNK","E","nw",36.4148198396,-80.6881655799
"37","NC","173","Swain","GSP","E","ww",35.4867392404,-83.492748881
"37","NC","175","Transylvania","GSP","E","ww",35.2021563435,-82.7983034172
